Year,STATE,Total_Fires,Total_Fire_Size
2006,AK,54,133396.9
2006,AL,160,7296.3
2006,AR,214,21361.11
2006,AZ,1824,146851.41
2006,CA,1399,320461.74
2006,CO,1066,29409.35
2006,FL,1149,153236.46
2006,GA,649,6025.62001
2006,ID,1100,735993.65
2006,IL,1,0.1
2006,KS,10,1072.3
2006,KY,3,45.0
2006,LA,33,773.9
2006,MA,1,0.1
2006,MD,15,35.800000000000004
2006,ME,12,2.52
2006,MI,28,216.2
2006,MN,170,40218.28
2006,MO,9,596.3
2006,MS,70,2978.49
2006,MT,1054,766350.84
2006,NC,106,1748.79999
2006,ND,49,10622.2
2006,NE,32,78172.67
2006,NJ,5,4.75
2006,NM,1060,214819.365
2006,NV,780,1291628.53
2006,NY,328,214.27
2006,OK,66,4497.35
2006,OR,1735,429968.51
2006,PA,6,57.46
2006,SC,120,1602.49
2006,SD,803,166815.96600000001
2006,TN,28,2272.8
2006,TX,878,183241.35
2006,UT,1098,222812.84
2006,VA,68,7023.00001
2006,WA,322,356381.28
2006,WI,66,229.74
2006,WV,13,54.85
2006,WY,365,217941.13999999998
2007,AK,263,541897.40002
2007,AL,192,5569.57
2007,AR,46,4370.2
2007,AZ,1145,91726.43000000001
2007,CA,868,74578.09
2007,CO,850,10555.19
2007,CT,1,0.1
2007,FL,1457,320051.91998999997
2007,GA,580,82528.62001
2007,ID,840,2031572.97
2007,IL,2,2.1
2007,IN,3,0.7
2007,KS,9,67.2
2007,KY,26,509.62
2007,LA,5,50.0
2007,MA,2,0.2
2007,MD,32,138.1
2007,ME,47,38.76
2007,MI,56,19929.85
2007,MN,102,699.3199999999999
2007,MO,10,33.2
2007,MS,20,292.4
2007,MT,981,585593.65
2007,NC,25,6868.1
2007,ND,18,374.97
2007,NE,123,12499.58
2007,NH,4,2.7
2007,NJ,12,7.0
2007,NM,781,69985.50002
2007,NV,389,908901.6
2007,NY,453,380.81
2007,OH,6,9.26
2007,OK,10,204.6
2007,OR,1159,479324.38
2007,PA,17,14.03
2007,PR,1,6.0
2007,SC,165,2014.84
2007,SD,308,32007.11
2007,TN,104,4412.400000000001
2007,TX,143,18175.65
2007,UT,629,497596.96
2007,VA,96,2810.31
2007,WA,258,91491.49
2007,WI,91,118.411
2007,WV,20,84.5
2007,WY,362,76174.02
2008,AK,103,90627.9
2008,AL,40,913.16
2008,AR,69,1233.25
2008,AZ,695,73206.55
2008,CA,1102,1052413.03
2008,CO,617,88584.26
2008,FL,890,36076.58
2008,GA,438,6101.610000000001
2008,ID,408,78182.06
2008,IL,3,75.19999999999999
2008,IN,4,2.4
2008,KS,4,21.5
2008,KY,6,177.0
2008,LA,45,6117.5
2008,MD,26,31.1
2008,ME,15,11.51
2008,MI,17,35.3
2008,MN,24,200.07
2008,MO,2,0.2
2008,MS,4,24.1
2008,MT,421,125796.45
2008,NC,33,42115.799999999996
2008,ND,29,2856.4
2008,NE,59,772.3199999999999
2008,NH,6,7.25
2008,NJ,12,15.25
2008,NM,351,129234.68000000001
2008,NV,243,64347.36
2008,NY,442,284.43
2008,OH,1,0.1
2008,OK,13,987.6
2008,OR,1475,224872.69
2008,PA,6,20.3
2008,SC,237,2770.48
2008,SD,123,290.11
2008,TN,32,3450.1
2008,TX,691,103910.32
2008,UT,432,11538.49
2008,VA,61,2863.7
2008,WA,539,14793.39
2008,WI,29,60.86
2008,WV,17,120.85
2008,WY,140,70859.03
2009,AK,195,2892886.1
2009,AL,18,787.8
2009,AR,18,160.5
2009,AZ,928,139233.68
2009,CA,957,53566.57
2009,CO,738,25242.95
2009,FL,579,60869.1
2009,GA,115,691.35
2009,HI,2,900.1
2009,ID,751,11282.86
2009,IL,4,4.2
2009,IN,1,0.1
2009,KS,1,0.1
2009,KY,1,40.0
2009,LA,8,12235.0
2009,ME,5,0.41000000000000003
2009,MI,11,107.6
2009,MN,8,2.61
2009,MO,2,144.1
2009,MS,1,0.3
2009,MT,706,27391.95
2009,NC,63,3758.65
2009,ND,8,178.25
2009,NE,35,505.351
2009,NJ,2,0.5
2009,NM,712,328344.05
2009,NV,385,5750.42
2009,NY,382,380.89
2009,OH,1,1.0
2009,OK,29,968.6
2009,OR,1213,68756.31999999999
2009,PA,2,29.51562
2009,SC,45,369.0
2009,SD,135,309.35
2009,TN,4,51.7
2009,TX,579,100434.08
2009,UT,659,108849.65000000001
2009,VA,15,90.11
2009,WA,905,74735.81999999999
2009,WI,23,50.795
2009,WY,203,18896.78
2010,AK,333,1030998.9
2010,AL,35,531.15
2010,AR,100,1975.1
2010,AZ,583,51693.979999999996
2010,CA,616,34010.630000000005
2010,CO,673,25581.77
2010,DC,1,0.1
2010,FL,650,17665.63
2010,GA,217,1959.96
2010,HI,1,0.1
2010,ID,592,469269.18000000005
2010,IL,4,5.199999999999999
2010,KS,2,4191.0
2010,KY,3,3.0
2010,LA,649,23088.5095
2010,MD,3,74.0
2010,ME,15,22.2
2010,MI,32,201.70000000000002
2010,MN,17,29.21
2010,MO,3,22.85
2010,MS,5,3.6
2010,MT,379,35921.74
2010,NC,77,1073.9
2010,ND,7,301.40000000000003
2010,NE,35,3658.6
2010,NH,3,0.759
2010,NJ,6,1661.75
2010,NM,514,75104.59
2010,NV,184,16945.7
2010,NY,391,221.63
2010,OK,36,1749.0
2010,OR,994,63008.18
2010,PA,11,258.65
2010,SC,58,615.5
2010,SD,50,282.8
2010,TN,22,903.0
2010,TX,429,79253.11
2010,UT,562,51339.38
2010,VA,70,2832.65
2010,VT,1,0.1
2010,WA,305,13567.05
2010,WI,46,474.94
2010,WV,22,1145.3
2010,WY,247,19082.23
2011,AK,133,267756.5
2011,AL,107,5041.110000000001
2011,AR,375,9841.53
2011,AZ,831,106507.04000000001
2011,CA,586,85839.51
2011,CO,643,77041.19
2011,FL,1820,256639.53
2011,GA,749,324459.45
2011,HI,1,338.0
2011,ID,682,315824.32
2011,IL,2,0.2
2011,KS,4,9.7
2011,KY,4,26.16
2011,LA,31,17390.0
2011,MD,11,264.0
2011,ME,23,6.26
2011,MI,5,1.72
2011,MN,29,93081.11
2011,MO,7,35.0
2011,MS,24,779.1
2011,MT,566,126124.03
2011,NC,38,82184.65
2011,ND,17,143.44
2011,NE,39,1194.7
2011,NJ,4,0.85
2011,NM,958,322360.13
2011,NV,377,354968.89
2011,NY,288,114.35
2011,OK,191,20085.3
2011,OR,977,198790.51
2011,PA,10,17.49
2011,SC,171,3066.97
2011,SD,163,10936.519999999999
2011,TN,25,1691.1499999999999
2011,TX,1495,920036.61
2011,UT,627,35047.83
2011,VA,49,7254.400000000001
2011,WA,99,142.43
2011,WI,8,7.46
2011,WV,14,26.91
2011,WY,355,119910.19
2012,AK,146,266759.7
2012,AL,62,3720.2
2012,AR,396,9626.66
2012,AZ,756,121997.21
2012,CA,670,536670.53
2012,CO,746,142156.83000000002
2012,DE,2,7.0
2012,FL,784,76447.13
2012,GA,437,4300.46
2012,IA,6,102.5
2012,ID,634,1487030.23
2012,IL,5,21.8
2012,IN,5,2.45
2012,KS,8,4292.63
2012,KY,19,157.81
2012,LA,75,3347.79
2012,MD,10,154.7
2012,ME,20,41.370000000000005
2012,MI,60,24732.010000000002
2012,MN,49,197.46
2012,MO,18,1865.75
2012,MS,29,456.4
2012,MT,793,825681.11
2012,NC,139,1000.85
2012,ND,22,3835.7999999999997
2012,NE,247,296362.57
2012,NH,6,3.0549999999999997
2012,NJ,11,251.0
2012,NM,584,360052.49
2012,NV,487,375488.84
2012,NY,353,157.4
2012,OH,2,3.25
2012,OK,103,3566.5
2012,OR,485,1490015.07
2012,PA,11,24.07
2012,PR,1,1.0
2012,SC,108,1963.8
2012,SD,399,83961.92
2012,TN,58,1368.15
2012,TX,462,78509.26
2012,UT,863,209990.18
2012,VA,108,3891.7999999999997
2012,VT,2,3.001
2012,WA,436,194085.7
2012,WI,43,83.4
2012,WV,16,407.9
2012,WY,454,269009.95
2013,AK,212,1159285.0
2013,AL,16,361.63
2013,AR,11,497.2
2013,AZ,692,57037.21
2013,CA,1082,42402.759999999995
2013,CO,1007,135176.08
2013,FL,374,18953.440000000002
2013,GA,62,381.56
2013,HI,1,0.1
2013,IA,3,0.03
2013,ID,1075,686990.68
2013,IN,1,0.1
2013,KS,4,172.2
2013,KY,1,0.5
2013,LA,29,12014.41
2013,MD,4,3.3
2013,ME,10,1.33
2013,MI,4,19.5
2013,MN,14,194.42999999999998
2013,MO,4,2.6
2013,MS,14,734.6
2013,MT,665,58837.1
2013,NC,25,278.3
2013,ND,10,35.31
2013,NE,38,5668.85
2013,NJ,3,1.0
2013,NM,567,248828.68
2013,NV,444,169253.98
2013,NY,213,143.09
2013,OH,1,3.0
2013,OK,21,708.5
2013,OR,1529,254621.26
2013,PA,4,12.350000000000001
2013,SC,9,85.0
2013,SD,95,194.35
2013,TN,12,21.21
2013,TX,282,9962.13
2013,UT,796,67571.62
2013,VA,9,18.2
2013,WA,518,19831.43
2013,WI,8,30.5
2013,WV,1,0.01
2013,WY,284,51795.82
2014,AK,53,10536.8
2014,AL,26,879.95
2014,AR,18,776.3
2014,AZ,530,160407.02
2014,CA,895,270044.22
2014,CO,425,2387.25
2014,FL,629,108266.56
2014,GA,160,2516.18
2014,HI,1,0.1
2014,IA,3,120.01
2014,ID,740,167860.83
2014,IL,2,1.1
